fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.9,0.5,0.04,1.6,0.138,22.0,48.0,0.99497,3.36,0.88,13.6,7
10.2,0.52,0.45,1.5,0.07200000000000001,20.0,47.0,0.997,3.2,0.78,9.6,5
6.2,0.635,0.07,1.6,0.086,15.0,21.0,0.99585,3.38,0.55,9.4,5
7.6,0.59,0.28,1.7,0.363,5.0,15.0,0.9962200000000001,3.29,1.18,9.3,5
9.0,0.53,0.29,3.8,0.09,13.0,74.0,0.9986,3.31,0.6,10.5,6
8.0,0.64,0.34,2.6,0.099,26.0,60.0,0.998,3.29,0.62,10.8,5
5.2,0.46,0.03,1.7,0.08199999999999999,18.0,91.0,0.9954299999999999,3.59,0.63,9.7,5
8.6,0.37,0.24,2.3,0.052000000000000005,5.0,14.0,0.9957,3.19,0.6,12.2,6
8.0,0.31,0.44,2.6,0.079,26.0,46.0,0.99356,3.24,0.7,12.9,6
7.7,0.995,0.42,4.0,0.08800000000000001,7.0,11.0,0.9955700000000001,3.45,0.62,11.3,4
7.8,0.725,0.26,7.8,0.11,14.0,34.0,0.9964,3.24,0.69,9.3,5
11.3,0.4,0.65,6.8,0.069,7.0,15.0,10.008,3.26,0.88,10.5,7
8.2,0.61,0.49,2.5,0.08,19.0,25.0,0.99755,3.39,0.57,9.4,5
7.3,0.355,0.46,2.0,0.07400000000000001,24.0,43.0,0.9964,3.31,0.87,10.6,7
9.3,0.5,0.28,3.0,0.081,8.0,37.0,0.9972799999999999,3.29,0.62,9.6,5
9.3,0.47,0.39,2.5,0.077,21.0,75.0,0.9972799999999999,3.04,0.54,9.5,5
5.6,0.85,0.13,1.7,0.08900000000000001,16.0,41.0,0.9945,3.59,0.62,12.9,5
8.8,0.3,0.49,2.7,0.057999999999999996,13.0,21.0,0.99584,3.41,0.86,11.1,6
6.4,0.66,0.0,3.2,0.087,11.0,39.0,0.99649,3.51,0.55,9.8,4
9.5,0.47,0.59,2.3,0.069,10.0,45.0,0.9981,3.29,0.55,9.4,5
6.6,0.67,0.0,1.4,0.067,6.0,28.0,0.99698,3.46,0.6,9.4,5
12.6,0.35,0.52,2.3,0.063,5.0,28.0,10.004,3.16,0.56,10,5
9.3,0.25,0.48,2.0,0.09,6.0,13.0,0.99479,3.29,0.47,10,7
7.2,0.645,0.03,2.6,0.078,10.0,88.0,0.99545,3.59,0.61,11.8,5
12.3,0.3,0.49,2.8,0.094,5.0,14.0,10.004,3.1,0.44,9.5,5
8.8,0.57,0.09,2.2,0.109,16.0,49.0,0.9958600000000001,3.31,0.62,11.2,6
8.2,0.27,0.27,2.1,0.10300000000000001,17.0,62.0,0.9958600000000001,3.22,0.59,10.6,6
8.2,0.24,0.43,2.0,0.073,15.0,27.0,0.9971,3.27,1.01,9.4,4
10.6,1.02,0.43,2.1,0.07,26.0,44.0,0.9963,3.02,0.57,11,6
10.1,0.62,0.49,2.2,0.159,5.0,18.0,0.9996,3.08,0.67,10.9,4
7.7,0.53,0.25,2.3,0.079,6.0,36.0,0.9997,3.49,0.52,9.2,5
10.5,0.54,0.48,4.6,0.114,6.0,14.0,0.9978,3.07,0.53,11,4
7.5,0.63,0.02,1.9,0.16,51.0,140.0,0.9985,3.37,0.71,9.5,5
7.7,0.36,0.24,2.2,0.057,5.0,15.0,0.9968,3.31,0.56,9.7,6
9.6,0.51,0.31,2.0,0.079,23.0,52.0,0.9987,3.24,0.74,9.2,5
8.0,0.38,0.49,3.0,0.08,31.0,64.0,0.99498,3.17,0.62,11.4,6
10.0,0.44,0.43,1.6,0.073,16.0,35.0,0.998,3.09,0.69,9.3,6
12.7,0.5,0.22,2.3,0.079,29.0,44.0,0.9997,3.12,0.61,9.3,6
7.8,0.53,0.08,1.7,0.077,15.0,38.0,0.99682,3.22,0.48,9.4,6
6.1,0.26,0.34,2.1,0.076,4.0,15.0,0.9949399999999999,3.4,0.7,10.8,7
7.0,0.52,0.06,2.1,0.064,15.0,49.0,0.9941200000000001,3.17,0.59,11.8,7
7.3,0.67,0.0,2.0,0.087,12.0,21.0,0.9967600000000001,3.39,0.6,9.3,5
7.8,0.51,0.19,1.9,0.071,10.0,26.0,0.9967,3.29,0.71,9.5,5
9.1,0.49,0.57,2.4,0.083,3.0,18.0,0.9936200000000001,3.24,0.63,12.4,6
5.8,0.51,0.18,1.8,0.047,19.0,90.0,0.9924,3.49,0.5,*,4
6.5,0.705,0.0,2.8,0.076,23.0,54.0,0.9963700000000001,3.48,0.54,9.6,5
7.4,0.26,0.44,1.8,0.078,15.0,25.0,0.9969899999999999,3.24,0.76,10.4,5
6.8,0.69,0.01,1.8,0.084,18.0,85.0,0.9984,3.49,0.66,9.8,5
7.4,0.32,0.49,2.3,0.054000000000000006,24.0,47.0,0.9952,3.51,0.94,10.5,6
8.0,0.27,0.68,2.1,0.086,5.0,10.0,0.9962799999999999,3.32,0.72,11.8,7
6.4,0.49,0.2,1.6,0.08900000000000001,24.0,41.0,0.9953,3.42,0.58,10.4,6
11.2,0.39,0.53,3.6,0.078,6.0,19.0,0.9988,3.16,0.63,10.2,6
9.6,0.46,0.23,2.8,0.084,11.0,106.0,0.9982,3.17,0.6,9.9,5
7.3,0.57,0.28,2.0,0.067,10.0,72.0,0.9957,3.12,0.64,9.2,6
7.7,0.43,0.24,1.9,0.078,28.0,64.0,0.99685,3.4,0.55,10.5,6
7.8,0.57,0.0,2.8,0.099,14.0,11.0,0.9962200000000001,3.31,0.59,10.9,6
7.2,0.575,0.02,2.1,0.07200000000000001,14.0,9.0,0.9974799999999999,3.35,0.44,9.4,6
8.9,0.41,0.6,6.8,0.113,32.0,72.0,0.9983,3.27,0.76,9.4,5
7.6,0.63,0.1,2.0,0.08900000000000001,17.0,37.0,0.99636,3.53,0.6,9.7,6
10.6,0.47,0.5,1.9,0.14,6.0,8.0,0.9972200000000001,3.2,0.75,10.4,5
7.5,0.61,0.12,1.8,0.08,23.0,97.0,0.9961200000000001,3.34,0.62,9.8,5
9.1,0.46,0.19,2.7,0.09699999999999999,19.0,68.0,0.9998,3.28,0.67,9.7,5
10.2,0.63,0.49,1.8,0.07,11.0,46.0,0.9961399999999999,3.17,0.66,9.3,5
6.6,0.34,0.33,2.3,0.078,18.0,88.0,0.9964200000000001,3.51,0.62,10.4,6
9.1,0.42,0.45,1.4,0.07200000000000001,27.0,51.0,0.9962,3.44,0.5,10.3,5
9.1,0.32,0.45,2.4,0.086,21.0,62.0,0.9964,3.32,0.86,10.6,6
8.7,0.69,0.09,2.9,0.075,10.0,26.0,0.9976,3.21,0.61,9.2,5
8.5,0.34,0.27,2.1,0.066,22.0,57.0,0.9956,3.22,0.77,11.6,7
6.6,0.865,0.1,7.6,0.11199999999999999,9.0,37.0,0.9966700000000001,3.59,0.64,11.7,5
12.5,0.47,0.71,2.2,0.079,8.0,45.0,0.9994,3.04,0.6,10.2,6
6.0,0.39,0.1,1.8,0.062,5.0,12.0,0.9959,3.44,0.58,10.4,5
8.0,0.24,0.44,2.0,0.08800000000000001,11.0,27.0,0.9948600000000001,3.39,0.67,12.8,7
7.6,0.13,0.47,0.9,0.04,9.0,29.0,0.9958,3.33,0.7,10.3,7
8.6,0.575,0.52,2.1,0.11900000000000001,38.0,152.0,0.9966,3.07,0.67,9.3,5
12.4,0.36,0.58,2.6,0.071,9.0,18.0,10.004,3.16,0.58,9,5
7.0,0.36,0.3,1.8,0.047,28.0,60.0,0.9955,3.26,0.81,10.9,6
8.3,0.81,0.25,2.4,0.08,31.0,66.0,0.99682,3.37,0.66,11,5
6.1,0.4,0.1,1.8,0.068,6.0,11.0,0.9951,3.39,0.64,*,5
7.3,0.65,0.05,1.9,0.078,6.0,20.0,0.9961,3.25,0.54,9.8,5
8.4,0.645,0.24,2.5,0.087,15.0,53.0,0.997,3.38,0.52,9.1,4
8.7,0.12,0.53,1.8,0.042,26.0,53.0,0.99392,3.28,0.71,10.3,6
11.8,0.31,0.56,2.4,0.078,17.0,30.0,0.9991,3.04,0.58,10.1,7
10.3,0.24,0.48,2.1,0.079,28.0,70.0,0.9992,3.14,0.71,10.9,6
10.3,0.33,0.49,3.3,0.09300000000000001,16.0,24.0,0.9986,3.38,0.99,10.8,6
9.0,0.5,0.49,2.3,0.07400000000000001,9.0,27.0,0.9997,3.39,0.57,9.7,5
7.1,0.735,0.18,5.4,0.07400000000000001,19.0,88.0,0.9973799999999999,3.46,0.45,9.6,6
7.0,0.835,0.24,2.1,0.09699999999999999,19.0,68.0,0.9976,3.54,0.61,9.8,5
8.3,0.58,0.23,3.4,0.102,18.0,92.0,0.99716,3.3,0.58,9.6,5
8.0,0.25,0.32,2.0,0.087,4.0,15.0,0.9967600000000001,3.37,0.6,10.3,6
7.3,0.61,0.09,4.8,0.084,22.0,44.0,0.9974,3.55,0.57,9.7,4
7.4,0.67,0.01,2.3,0.07400000000000001,11.0,38.0,0.9952,3.41,0.56,10.1,5
7.8,0.46,0.49,1.8,0.07,28.0,56.0,0.9961,3.4,0.64,9.8,6
11.0,0.47,0.54,2.0,0.071,5.0,21.0,0.9994,3.17,0.73,10.2,6
8.3,0.51,0.14,2.8,0.064,8.0,20.0,0.9965,3.22,0.78,11.1,6
8.9,0.29,0.32,2.0,0.07,28.0,57.0,0.99629,3.27,0.83,10.6,6
7.4,0.64,0.32,1.7,0.084,18.0,32.0,0.997,3.37,0.61,10.4,6
7.0,0.57,0.04,1.8,0.078,4.0,6.0,0.9970600000000001,3.38,0.37,9.5,5
9.4,0.37,0.34,2.2,0.084,35.0,68.0,0.9982,3.27,0.52,9.9,5
8.5,0.55,0.36,6.1,0.081,27.0,114.0,0.9970399999999999,3.18,0.73,11,5
9.6,0.56,0.39,3.0,0.102,22.0,52.0,0.9979,3.16,0.92,11.5,6
8.2,0.885,0.22,2.2,0.069,5.0,25.0,0.9978,3.27,0.54,9.4,6
9.2,0.68,0.24,2.0,0.084,22.0,93.0,0.99984,3.44,0.58,9.7,5
7.6,0.42,0.46,1.8,0.07400000000000001,9.0,20.0,0.9971,3.01,0.59,9.2,5
7.1,0.64,0.0,2.1,0.07200000000000001,13.0,31.0,0.9966,3.48,0.56,9.8,5
7.4,0.51,0.04,2.1,0.067,5.0,10.0,0.9948,3.22,0.56,11.3,7
7.3,0.67,0.0,1.9,0.08900000000000001,16.0,20.0,0.9960899999999999,3.43,0.5,9.7,5
12.5,0.49,0.49,2.7,0.07400000000000001,5.0,37.0,0.9997,3.02,0.77,10.7,6
10.1,0.41,0.27,1.9,0.07,18.0,36.0,0.9971,3.06,0.65,9.3,6
10.2,0.52,0.49,2.7,0.075,14.0,47.0,0.99945,3.43,0.65,10,7
7.0,0.58,0.09,2.0,0.067,9.0,17.0,0.9959399999999999,3.2,0.58,11.8,5
12.3,0.3,0.62,2.2,0.073,6.0,24.0,0.9998,3.18,0.5,9.8,5
10.5,0.52,0.65,6.2,0.077,7.0,27.0,0.9996,3.28,0.86,11.7,7
7.2,0.34,0.31,2.0,0.08,10.0,75.0,0.9974,3.37,0.65,10.4,6
9.0,0.36,0.47,1.8,0.057,3.0,6.0,0.99434,3.16,0.43,11.4,6
7.7,0.52,0.04,2.5,0.091,20.0,38.0,0.9981,3.48,0.58,9.6,5
10.4,0.26,0.44,2.0,0.07,6.0,13.0,0.9956,3.22,0.74,12,7
4.9,0.78,0.01,1.7,0.075,16.0,45.0,0.99387,3.59,0.81,12.8,7
8.8,0.47,0.39,2.0,0.098,15.0,18.0,0.998,3.28,0.66,9.2,5
9.6,0.27,0.32,2.7,0.07400000000000001,27.0,69.0,0.9988,3.26,0.85,10.6,5
9.0,0.54,0.45,2.4,0.086,14.0,111.0,0.9976,3.21,0.51,9.4,5
8.0,0.31,0.34,2.7,0.075,39.0,53.0,0.99666,3.34,0.74,9.4,6
7.6,0.78,0.02,1.8,0.08800000000000001,12.0,51.0,0.99605,3.37,0.58,9.8,5
8.9,0.58,0.23,2.25,0.078,15.0,22.0,0.9963,3.14,0.56,11.7,5
6.6,0.27,0.27,2.9,0.055,5.0,13.0,0.99387,3.36,0.52,12.8,6
6.3,0.33,0.4,3.4,0.09699999999999999,9.0,29.0,0.9946799999999999,3.63,0.89,12.6,7
12.1,0.24,0.49,1.3,0.075,41.0,70.0,0.9976,2.98,0.83,9.4,7
7.8,0.54,0.27,2.0,0.08,9.0,32.0,0.9964799999999999,3.25,0.68,9.5,6
6.4,0.7,0.0,2.0,0.069,11.0,23.0,0.99118,3.46,0.62,12.2,6
7.5,1.115,0.01,2.3,0.087,3.0,14.0,0.99587,3.54,0.54,10.9,4
5.9,0.65,0.03,2.3,0.09,17.0,48.0,0.99498,3.6,0.63,12.8,6
15.0,0.46,0.24,2.2,0.095,9.0,47.0,0.9948799999999999,3.9,0.52,12.8,6
7.0,0.65,0.0,2.5,0.096,12.0,55.0,0.99467,3.32,0.5,11,5
8.9,0.58,0.39,2.0,0.08199999999999999,7.0,37.0,0.9972,3.14,0.66,11.4,6
11.6,0.29,0.49,2.3,0.095,20.0,68.0,0.9994,3.1,0.83,11.4,5
5.6,0.56,0.03,1.5,0.081,22.0,65.0,0.9972,3.26,0.53,9.7,5
8.1,0.715,0.24,2.2,0.075,12.0,26.0,0.9964,3.34,0.51,9.8,5
7.9,0.55,0.24,2.3,0.08800000000000001,13.0,30.0,0.99682,3.45,0.57,10.5,6
6.3,0.46,0.19,1.8,0.078,26.0,50.0,0.99495,3.49,0.52,10.4,6
9.2,0.4,0.46,2.6,0.055999999999999994,18.0,41.0,0.9943200000000001,3.2,0.83,12.5,6
7.5,0.5,0.34,2.5,0.061,16.0,29.0,0.9969,3.48,0.87,11.3,7
7.3,0.62,0.02,1.2,0.066,13.0,38.0,0.9941,3.33,0.57,9.5,5
5.6,0.77,0.02,2.6,0.057999999999999996,7.0,13.0,0.9925,3.6,0.62,12.2,5
7.3,0.45,0.35,2.0,0.061,19.0,37.0,0.99646,3.28,0.59,9.4,5
7.0,0.63,0.06,1.7,0.078,15.0,85.0,0.99618,3.2,0.59,9.5,5
9.1,0.48,0.52,2.6,0.078,7.0,20.0,0.998,3.27,0.58,9.4,6
9.1,0.785,0.2,1.6,0.06,5.0,11.0,0.9962,3.28,0.55,10,5
7.0,0.61,0.0,2.2,0.075,10.0,34.0,0.9956,3.48,0.6,9.8,6
8.0,0.45,0.24,1.8,0.054000000000000006,25.0,45.0,0.99623,3.38,0.62,9.5,5
6.7,0.51,0.08,2.4,0.078,12.0,25.0,0.9959,3.22,0.74,11.7,7
13.7,0.49,0.65,6.2,0.079,26.0,36.0,0.9996,3.08,0.68,12.2,6
7.1,0.785,0.02,1.9,0.07200000000000001,40.0,63.0,0.9969,3.27,0.6,9.8,5
9.0,0.765,0.12,2.0,0.113,19.0,116.0,0.9962,3.15,0.67,9.8,5
9.4,0.24,0.47,2.6,0.081,6.0,19.0,0.9970399999999999,3.16,0.7,11,7
12.3,0.39,0.49,2.4,0.094,13.0,7.0,0.9992,3.16,0.83,11.4,6
8.8,0.34,0.34,2.0,0.087,35.0,150.0,0.9979,3.23,0.7,9.5,5
11.8,0.34,0.48,2.7,0.095,14.0,40.0,0.9987,3.23,0.61,11,6
8.3,0.59,0.24,1.9,0.057999999999999996,25.0,52.0,0.99519,3.25,0.83,10.2,5
8.4,0.66,0.11,2.4,0.086,20.0,41.0,0.9965200000000001,3.35,0.48,10,5
7.5,0.37,0.0,2.2,0.07,36.0,60.0,0.9962,3.4,0.58,9.8,6
6.2,0.66,0.0,2.2,0.09,13.0,104.0,0.9974,3.13,0.55,9.1,5
9.9,0.685,0.24,1.9,0.078,40.0,145.0,0.9982,3.2,0.53,9.4,5
9.0,0.5,0.12,1.9,0.075,9.0,22.0,0.99592,3.29,0.57,10.4,5
6.3,0.4,0.17,1.8,0.075,18.0,87.0,0.99584,3.36,0.55,9.5,6
12.5,0.3,0.73,2.6,0.078,23.0,49.0,0.9987,3.1,0.85,10.1,7
7.2,0.56,0.17,2.0,0.111,14.0,48.0,0.996,3.23,0.64,9.5,5
7.7,0.58,0.26,2.0,0.096,20.0,81.0,0.99615,3.29,0.58,9.5,6
7.3,0.715,0.19,1.5,0.081,10.0,22.0,0.99675,3.49,0.65,9.3,5
7.1,0.59,0.05,2.0,0.079,29.0,58.0,0.9963,3.38,0.59,9.5,5
8.8,0.39,0.49,2.6,0.079,26.0,75.0,0.9977,3.24,0.51,9.2,5
11.5,0.28,0.56,3.1,0.077,7.0,21.0,0.9996,3.29,0.81,11.2,7
8.7,0.75,0.01,2.5,0.086,12.0,35.0,0.9974799999999999,3.36,0.74,9.6,5
8.5,0.47,0.24,2.0,0.08199999999999999,30.0,41.0,0.99624,3.2,0.65,11,6
6.4,0.57,0.01,1.6,0.062,8.0,11.0,0.99569,3.48,0.68,9.5,5
9.1,0.375,0.46,7.9,0.092,5.0,19.0,0.9984,3.28,0.8,9.6,5
9.9,0.7,0.27,2.6,0.087,25.0,74.0,0.9981,3.24,0.53,9.7,5
8.4,0.62,0.21,1.9,0.08900000000000001,8.0,20.0,0.9968899999999999,3.29,0.56,10.4,5
7.6,0.955,0.03,4.2,0.08800000000000001,7.0,44.0,0.9964200000000001,3.26,0.52,11,5
9.8,0.58,0.49,2.2,0.08800000000000001,26.0,53.0,0.9980399999999999,3.38,0.63,9.5,5
8.9,0.18,0.4,5.8,0.08,8.0,12.0,0.99708,3.22,0.73,10.9,6
7.6,0.43,0.33,2.3,0.08900000000000001,23.0,94.0,0.9968,3.21,0.56,9.4,6
9.3,0.36,0.46,2.4,0.07,5.0,10.0,0.9947799999999999,3.19,0.42,11.4,5
9.7,0.48,0.0,1.9,0.064,10.0,31.0,0.99792,3.28,0.77,10.6,5
6.6,0.975,0.0,4.3,0.08,6.0,22.0,0.9965200000000001,3.57,0.62,12.5,7
8.6,0.52,0.09,2.4,0.071,6.0,10.0,0.9961,3.32,0.72,11.5,7
8.3,0.67,0.15,3.1,0.083,27.0,45.0,0.99718,3.2,0.55,10.8,6
7.6,0.28,0.3,1.7,0.061,24.0,65.0,0.99374,3.36,0.52,*,6
7.9,0.52,0.06,2.0,0.084,11.0,67.0,0.9972,3.42,0.94,10.1,6
8.6,0.47,0.42,2.3,0.084,3.0,20.0,0.9981,3.21,0.58,9.2,5
7.2,0.6,0.0,2.3,0.096,21.0,33.0,0.9974,3.43,0.61,9.5,6
9.1,0.6,0.3,3.8,0.086,5.0,18.0,0.9986,3.48,0.62,10.1,5
7.6,0.645,0.08,2.1,0.085,17.0,42.0,0.996,3.34,0.56,9.2,6
7.3,0.36,0.32,1.8,0.081,5.0,22.0,0.9966,3.37,0.48,9.4,6
9.8,0.68,0.27,3.0,0.1,8.0,20.0,0.99769,3.21,0.53,9.4,5
13.3,0.59,0.55,1.5,0.084,6.0,27.0,10.014,3.05,0.87,9.7,6
8.3,0.62,0.22,2.2,0.098,13.0,18.0,0.9997,3.28,0.58,9.2,5
10.4,0.26,0.55,1.5,0.096,6.0,25.0,0.9974,3.16,0.75,11,6
11.1,0.35,0.42,1.6,0.085,6.0,18.0,0.9984200000000001,3.11,0.67,10.4,6
7.1,0.52,0.16,1.8,0.081,23.0,42.0,0.99625,3.36,0.5,10.5,5
10.0,0.26,0.6,2.5,0.091,15.0,21.0,10.004,3.16,0.69,10.8,6
8.6,0.58,0.02,3.1,0.066,7.0,18.0,0.997,3.2,0.85,9.6,5
9.2,0.47,0.35,2.9,0.08,21.0,127.0,0.9984,3.27,0.75,9.7,5
9.0,0.835,0.02,2.4,0.073,30.0,83.0,0.99685,3.23,0.53,10,5
8.2,0.28,0.54,2.4,0.11599999999999999,4.0,18.0,0.99708,3.26,0.6,9.5,5
8.3,0.56,0.22,2.0,0.08199999999999999,16.0,102.0,0.9954,3.26,0.52,9.5,5
8.3,0.34,0.38,2.4,0.06,21.0,33.0,0.9937799999999999,3.32,0.7,12.4,7
8.2,0.55,0.05,2.3,0.059000000000000004,3.0,9.0,0.99408,3.2,0.55,11.4,6
6.4,0.61,0.0,1.8,0.067,18.0,40.0,0.9963299999999999,3.42,0.55,10,4
9.9,0.26,0.41,2.3,0.063,15.0,38.0,0.9929,3.2,0.72,12.5,7
9.5,0.39,0.4,1.7,0.062,5.0,28.0,0.9964299999999999,3.34,0.57,10.2,5
9.1,0.53,0.35,2.5,0.067,6.0,26.0,0.9996,3.35,0.61,10.7,6
10.9,0.28,0.63,2.9,0.12,4.0,10.0,0.9982,3.19,0.65,9.8,5
8.3,0.34,0.48,1.7,0.05,11.0,20.0,0.9965200000000001,3.24,0.7,10.2,5
13.8,0.4,0.49,4.3,0.115,20.0,57.0,10.021,3.3,0.68,12.7,6
9.3,0.765,0.15,1.5,0.10400000000000001,5.0,56.0,0.9960200000000001,3.17,0.55,9.5,5
9.0,0.3,0.57,2.0,0.07200000000000001,6.0,10.0,0.99472,3.24,0.62,12.2,6
8.3,0.51,0.07,2.0,0.07,13.0,27.0,0.9951,3.36,0.56,11.2,4
6.6,0.66,0.21,2.0,0.073,8.0,28.0,0.9932799999999999,3.36,0.64,12,6
7.5,0.58,0.16,7.1,0.084,30.0,74.0,0.99875,3.3,0.56,9.6,6
9.9,0.32,0.25,1.0,0.071,14.0,48.0,0.9968600000000001,3.26,0.85,9.4,5
8.6,0.41,0.27,2.2,0.091,22.0,55.0,0.9961,3.34,0.47,9.4,5
6.3,0.43,0.22,1.9,0.077,39.0,135.0,0.9962,3.26,0.69,9.3,5
7.1,0.56,0.0,2.2,0.075,7.0,10.0,0.9958,3.43,0.59,11.3,6
9.0,0.41,0.33,2.0,0.07400000000000001,11.0,25.0,0.9972799999999999,3.23,0.51,10.8,6
10.7,0.41,0.68,3.2,0.107,6.0,21.0,0.9971,3.01,0.99,13.4,7
7.2,0.65,0.16,2.0,0.09,14.0,81.0,0.99716,3.19,0.56,9.4,5
8.8,0.57,0.33,2.0,0.08199999999999999,22.0,102.0,0.99618,3.1,0.58,10.5,5
12.7,0.5,0.49,4.3,0.07,29.0,43.0,0.9992,3.05,0.67,10.5,5
10.8,0.49,0.44,2.6,0.099,10.0,52.0,0.9999,3.14,0.49,*,5
9.5,0.5,0.3,6.7,0.10099999999999999,5.0,17.0,0.99802,3.25,0.67,11.3,7
7.9,0.3,0.34,1.7,0.062,7.0,22.0,0.9966,3.34,0.44,9.5,5
6.9,0.74,0.03,2.5,0.071,6.0,16.0,0.9958799999999999,3.51,0.59,11.1,5
13.2,0.24,0.55,1.8,0.06,28.0,47.0,0.9982,3.2,0.85,9.7,5
6.8,0.74,0.02,1.9,0.122,11.0,32.0,0.99574,3.46,0.53,9.3,5
6.8,0.48,0.12,1.8,0.079,16.0,30.0,0.9948,3.33,0.71,12.8,7
7.5,0.98,0.6,2.1,0.114,7.0,25.0,0.9972,3.35,0.54,9.8,5
8.2,0.66,0.04,2.1,0.07,8.0,29.0,0.99735,3.6,0.7,9.6,4
7.5,0.58,0.43,2.3,0.07,18.0,45.0,0.99487,3.29,0.56,11.8,6
8.8,0.51,0.06,2.2,0.087,10.0,37.0,0.99715,3.36,0.64,9.4,6
6.7,0.45,0.08,2.4,0.076,16.0,22.0,0.9925,3.66,0.6,11.4,5
9.3,1.03,0.11,2.5,0.08900000000000001,15.0,88.0,0.998,3.38,0.57,9.6,5
7.6,0.66,0.36,2.2,0.076,7.0,13.0,0.9966,3.4,0.53,9.3,5
10.9,0.32,0.54,2.1,0.126,24.0,67.0,0.9994,3.23,0.77,9.7,5
12.4,0.56,0.49,3.3,0.076,11.0,48.0,0.9996,3.14,0.82,10.8,7
12.7,0.4,0.49,2.2,0.085,5.0,17.0,10.004,3.12,0.46,10,5
7.2,0.41,0.1,4.1,0.077,23.0,46.0,0.99339,3.49,0.59,12.8,6
11.9,0.54,0.59,1.6,0.075,12.0,45.0,0.9994,3.01,0.81,10,6
7.8,0.725,0.09,5.5,0.114,9.0,47.0,0.9965799999999999,3.26,0.42,9.4,6
7.7,0.36,0.4,2.2,0.122,12.0,54.0,0.9966,3.28,0.71,10.9,6
8.0,0.35,0.39,2.4,0.066,41.0,67.0,0.99546,3.32,0.78,11,6
7.9,0.48,0.24,2.5,0.07200000000000001,18.0,37.0,0.996,3.3,0.69,9.8,5
8.3,0.57,0.37,2.0,0.084,12.0,57.0,0.9965,3.17,0.49,9.2,5
9.1,0.35,0.3,1.8,0.061,12.0,16.0,0.9977,3.41,0.76,9.4,6
7.7,0.51,0.05,2.2,0.076,11.0,25.0,0.9974,3.36,0.7,9.6,6
7.7,0.67,0.12,1.9,0.07,14.0,37.0,0.99516,3.36,0.58,10.5,6
7.8,0.98,0.3,3.2,0.063,30.0,155.0,0.9976,3.26,0.64,10.2,5
10.9,0.39,0.49,3.2,0.092,20.0,69.0,0.9996,3.11,0.63,10.1,6
6.8,0.39,0.16,8.8,0.12300000000000001,24.0,49.0,0.99529,3.16,0.57,11,5
8.0,0.73,0.24,2.4,0.07,5.0,23.0,0.9965,3.17,0.47,9.6,5
6.8,0.58,0.01,2.0,0.067,3.0,9.0,0.9964,3.4,0.57,9.5,4
7.8,0.56,0.38,1.6,0.084,24.0,46.0,0.9968600000000001,3.45,0.54,10.3,6
7.4,0.52,0.12,3.0,0.086,11.0,41.0,0.9964,3.39,0.57,9.5,6
8.0,0.725,0.12,2.8,0.083,15.0,75.0,0.99756,3.34,0.57,9.1,5
8.6,0.62,0.25,3.7,0.105,50.0,99.0,0.99644,3.22,0.57,10,5
10.0,0.74,0.38,15.4,0.214,55.0,95.0,100.369,3.18,0.77,9,6
11.6,0.47,0.5,2.7,0.102,6.0,23.0,10.006,3.22,0.9,10.2,5
11.3,0.33,0.63,2.4,0.10099999999999999,7.0,26.0,0.9994,3.21,0.63,10.3,6
7.3,0.5,0.39,1.8,0.1,3.0,17.0,0.996,3.15,0.59,9.5,5
8.2,0.29,0.3,2.2,0.059000000000000004,35.0,75.0,0.9962,3.21,0.74,11,7
10.1,0.52,0.38,2.6,0.06,21.0,30.0,0.99572,3.22,0.86,12.9,7
7.2,0.36,0.41,2.4,0.09300000000000001,14.0,41.0,0.9943200000000001,3.39,0.5,12.8,6
6.9,1.04,0.0,2.3,0.127,11.0,31.0,0.9991,3.4,0.57,9.9,5
7.2,0.64,0.0,2.5,0.062,8.0,13.0,0.99736,3.52,0.69,9.8,6
10.8,0.45,0.33,2.8,0.095,20.0,47.0,0.9988,3.24,0.68,9.5,5
9.2,0.615,0.22,3.8,0.047,7.0,23.0,0.9963,3.26,0.89,10.2,5
12.6,0.5,0.73,2.6,0.07200000000000001,21.0,59.0,0.99925,3.01,0.77,10,7
6.5,0.64,0.1,2.8,0.09,42.0,47.0,0.9984799999999999,3.6,0.73,9.6,6
14.3,0.44,0.72,3.2,0.07,22.0,73.0,10.014,3.05,0.81,13,6
7.4,0.59,0.17,1.9,0.086,22.0,51.0,0.9974,3.54,0.7,9.7,5
7.6,0.7,0.01,1.7,0.079,17.0,41.0,0.9953200000000001,3.11,0.5,10.4,5
8.5,0.28,0.47,1.9,0.05,9.0,17.0,0.9978,3.35,0.82,9.4,6
6.8,0.47,0.02,2.2,0.079,23.0,24.0,0.9947,3.42,0.72,11.1,6
7.2,0.36,0.28,1.8,0.086,16.0,40.0,0.99684,3.41,0.7,10.2,7
6.6,0.63,0.02,2.0,0.07,20.0,50.0,0.99598,3.4,0.74,10.4,6
7.0,0.4,0.33,2.0,0.068,10.0,27.0,0.99565,3.34,0.63,11.3,6
6.2,0.38,0.21,2.1,0.10099999999999999,10.0,10.0,0.99566,3.43,0.66,10.1,6
10.2,0.34,0.53,2.1,0.05,5.0,24.0,0.9982,3.18,0.99,9.9,6
11.6,0.36,0.55,2.5,0.084,7.0,23.0,0.9998,3.22,0.62,9.4,6
